h,w,r,g,b
0,0,229,186,143
0,1,229,186,143
0,2,230,187,144
0,3,230,187,144
0,4,230,187,144
0,5,231,188,145
0,6,231,188,145
0,7,231,188,145
0,8,229,186,143
0,9,226,183,140
0,10,223,180,137
0,11,225,182,139
0,12,229,186,143
0,13,231,188,145
0,14,228,185,142
0,15,225,182,139
0,16,226,183,140
0,17,222,179,136
0,18,220,177,134
0,19,222,179,136
0,20,226,183,140
0,21,228,185,142
0,22,226,183,140
0,23,223,180,137
0,24,225,182,139
0,25,221,178,135
0,26,219,176,133
0,27,222,179,136
0,28,226,183,140
0,29,228,185,142
0,30,226,183,140
0,31,223,180,137
0,32,229,178,135
0,33,236,185,142
0,34,241,192,151
0,35,239,191,151
0,36,229,184,145
0,37,218,174,137
0,38,209,166,131
0,39,204,163,131
0,40,220,181,148
0,41,203,164,133
0,42,217,180,151
0,43,229,192,163
0,44,206,169,140
0,45,169,132,103
0,46,164,127,98
0,47,203,166,137
0,48,215,167,131
0,49,248,200,164
0,50,220,172,136
0,51,241,195,159
0,52,218,172,136
0,53,236,192,155
0,54,220,176,139
0,55,237,194,159
0,56,220,177,142
0,57,225,185,149
0,58,219,179,143
0,59,218,180,143
0,60,228,190,154
0,61,221,183,147
0,62,205,169,133
0,63,205,169,133
0,64,218,177,131
0,65,213,174,131
0,66,221,186,146
0,67,208,175,140
0,68,134,104,76
0,69,130,103,82
0,70,148,125,109
0,71,141,119,106
0,72,108,88,79
0,73,157,137,128
0,74,147,125,114
0,75,124,100,88
0,76,156,130,115
0,77,134,107,90
0,78,196,168,147
0,79,195,164,144
1,0,228,185,142
1,1,228,185,142
1,2,228,185,142
1,3,229,186,143
1,4,229,186,143
1,5,230,187,144
1,6,230,187,144
1,7,230,187,144
1,8,227,184,141
1,9,224,181,138
1,10,222,179,136
1,11,225,182,139
1,12,230,187,144
1,13,232,189,146
1,14,230,187,144
1,15,227,184,141
1,16,228,185,142
1,17,224,181,138
1,18,222,179,136
1,19,224,181,138
1,20,228,185,142
1,21,230,187,144
1,22,228,185,142
1,23,224,181,138
1,24,226,183,140
1,25,223,180,137
1,26,221,178,135
1,27,223,180,137
1,28,228,185,142
1,29,230,187,144
1,30,228,185,142
1,31,225,182,139
1,32,226,177,134
1,33,231,182,141
1,34,236,187,146
1,35,234,186,146
1,36,225,180,141
1,37,218,173,134
1,38,213,169,132
1,39,211,168,133
1,40,221,181,146
1,41,213,174,141
1,42,229,190,159
1,43,232,195,166
1,44,206,169,140
1,45,172,137,109
1,46,172,137,109
1,47,208,173,145
1,48,216,170,136
1,49,234,188,154
1,50,238,192,158
1,51,225,181,146
1,52,236,192,157
1,53,231,187,152
1,54,230,187,152
1,55,212,169,134
1,56,212,169,134
1,57,217,177,141
1,58,221,181,145
1,59,227,187,151
1,60,231,193,156
1,61,222,184,147
1,62,205,167,130
1,63,196,158,121
1,64,221,180,134
1,65,245,206,163
1,66,230,195,155
1,67,214,181,146
1,68,147,117,89
1,69,121,94,73
1,70,141,118,102
1,71,119,97,84
1,72,109,89,80
1,73,125,105,96
1,74,120,98,87
1,75,152,128,116
1,76,84,58,43
1,77,148,121,104
1,78,206,178,157
1,79,195,164,143
2,0,226,183,140
2,1,226,183,140
2,2,226,183,140
2,3,227,184,141
2,4,227,184,141
2,5,228,185,142
2,6,228,185,142
2,7,228,185,142
2,8,225,182,139
2,9,222,179,136
2,10,221,178,135
2,11,224,181,138
2,12,230,187,144
2,13,233,190,147
2,14,232,189,146
2,15,230,187,144
2,16,230,187,144
2,17,227,184,141
2,18,224,181,138
2,19,226,183,140
2,20,230,187,144
2,21,232,189,146
2,22,230,187,144
2,23,227,184,141
2,24,224,181,138
2,25,221,178,135
2,26,220,177,134
2,27,223,180,137
2,28,228,185,142
2,29,231,188,145
2,30,229,186,143
2,31,226,183,140
2,32,221,176,135
2,33,225,180,139
2,34,227,182,141
2,35,227,179,139
2,36,222,174,134
2,37,217,172,131
2,38,218,173,134
2,39,220,176,137
2,40,220,178,140
2,41,221,181,146
2,42,231,192,159
2,43,229,193,161
2,44,201,166,138
2,45,172,138,111
2,46,175,143,118
2,47,201,169,144
2,48,228,185,153
2,49,208,165,133
2,50,215,172,138
2,51,217,174,140
2,52,211,168,134
2,53,193,150,116
2,54,211,168,134
2,55,221,181,145
2,56,222,182,146
2,57,216,176,140
2,58,218,178,142
2,59,221,182,143
2,60,219,180,141
2,61,218,179,140
2,62,213,174,135
2,63,204,165,126
2,64,222,181,135
2,65,240,201,158
2,66,199,161,122
2,67,202,168,133
2,68,161,131,103
2,69,96,69,48
2,70,117,94,78
2,71,113,91,78
2,72,79,59,50
2,73,132,112,103
2,74,143,121,110
2,75,67,43,31
2,76,118,92,77
2,77,134,107,88
2,78,190,162,141
2,79,220,189,168
3,0,225,182,139
3,1,225,182,139
3,2,225,182,139
3,3,226,183,140
3,4,226,183,140
3,5,227,184,141
3,6,227,184,141
3,7,227,184,141
3,8,223,180,137
3,9,221,178,135
3,10,220,177,134
3,11,224,181,138
3,12,230,187,144
3,13,234,191,148
3,14,233,190,147
3,15,231,188,145
3,16,232,189,146
3,17,228,185,142
3,18,226,183,140
3,19,228,185,142
3,20,232,189,146
3,21,234,191,148
3,22,232,189,146
3,23,228,185,142
3,24,219,176,133
3,25,217,174,131
3,26,215,172,129
3,27,219,176,133
3,28,225,182,139
3,29,228,185,142
3,30,227,184,141
3,31,224,181,138
3,32,219,177,137
3,33,220,178,138
3,34,221,178,136
3,35,219,174,132
3,36,218,171,129
3,37,219,172,128
3,38,225,178,134
3,39,231,184,142
3,40,228,183,142
3,41,232,188,151
3,42,227,187,152
3,43,221,185,153
3,44,196,165,136
3,45,172,142,118
3,46,177,151,128
3,47,188,163,141
3,48,208,171,142
3,49,230,193,164
3,50,228,191,162
3,51,220,181,152
3,52,142,103,72
3,53,180,141,108
3,54,194,155,122
3,55,220,180,145
3,56,233,193,158
3,57,219,179,143
3,58,221,179,141
3,59,222,180,142
3,60,215,173,133
3,61,220,178,138
3,62,224,182,142
3,63,214,172,132
3,64,175,134,88
3,65,214,176,131
3,66,186,148,109
3,67,178,144,109
3,68,180,150,122
3,69,138,112,89
3,70,150,127,111
3,71,141,119,106
3,72,123,103,92
3,73,98,78,69
3,74,99,77,66
3,75,132,108,96
3,76,70,44,29
3,77,181,152,134
3,78,207,176,156
3,79,201,170,149
4,0,226,183,140
4,1,226,183,140
4,2,226,183,140
4,3,227,184,141
4,4,227,184,141
4,5,228,185,142
4,6,228,185,142
4,7,228,185,142
4,8,225,182,139
4,9,222,179,136
4,10,221,178,135
4,11,224,181,138
4,12,230,187,144
4,13,233,190,147
4,14,232,189,146
4,15,229,186,143
4,16,232,189,146
4,17,228,185,142
4,18,226,183,140
4,19,228,185,142
4,20,232,189,146
4,21,234,191,148
4,22,232,189,146
4,23,228,185,142
4,24,214,171,128
4,25,211,168,125
4,26,210,167,124
4,27,214,171,128
4,28,221,178,135
4,29,225,182,139
4,30,224,181,138
4,31,222,179,136
4,32,215,180,140
4,33,218,180,141
4,34,218,179,136
4,35,217,174,131
4,36,218,171,125
4,37,222,174,126
4,38,231,180,133
4,39,239,188,141
4,40,237,189,143
4,41,235,190,149
4,42,216,176,140
4,43,215,180,148
4,44,194,164,136
4,45,162,138,114
4,46,165,144,125
4,47,163,144,127
4,48,211,179,154
4,49,236,204,179
4,50,233,199,174
4,51,183,149,122
4,52,77,42,14
4,53,137,102,72
4,54,194,158,126
4,55,255,218,185
4,56,230,190,155
4,57,220,180,144
4,58,227,185,147
4,59,233,189,150
4,60,226,183,141
4,61,228,183,142
4,62,227,182,140
4,63,214,169,127
4,64,223,182,136
4,65,222,181,137
4,66,212,174,135
4,67,198,164,129
4,68,191,160,131
4,69,104,76,54
4,70,90,64,47
4,71,117,95,82
4,72,107,85,74
4,73,80,58,47
4,74,100,78,67
4,75,97,74,60
4,76,108,80,66
4,77,129,100,82
4,78,166,135,115
4,79,197,166,145
5,0,228,185,142
5,1,228,185,142
5,2,229,186,143
5,3,229,186,143
5,4,230,187,144
5,5,230,187,144
5,6,230,187,144
5,7,231,188,145
5,8,229,186,143
5,9,226,183,140
5,10,223,180,137
5,11,225,182,139
5,12,229,186,143
5,13,231,188,145
5,14,228,185,142
5,15,225,182,139
5,16,230,187,144
5,17,227,184,141
5,18,224,181,138
5,19,226,183,140
5,20,230,187,144
5,21,232,189,146
5,22,230,187,144
5,23,227,184,141
5,24,212,169,126
5,25,210,167,124
5,26,210,167,124
5,27,214,171,128
5,28,221,178,135
5,29,226,183,140
5,30,225,182,139
5,31,223,180,137
5,32,216,184,146
5,33,218,184,146
5,34,221,184,142
5,35,221,180,136
5,36,221,175,126
5,37,226,176,127
5,38,234,182,132
5,39,240,188,138
5,40,229,179,130
5,41,240,193,149
5,42,232,193,154
5,43,243,210,177
5,44,200,174,149
5,45,119,98,79
5,46,82,66,50
5,47,52,40,26
5,48,110,83,64
5,49,176,149,128
5,50,210,182,161
5,51,86,58,36
5,52,37,7,0
5,53,135,104,76
5,54,219,185,157
5,55,224,188,156
5,56,235,196,163
5,57,226,186,150
5,58,223,181,143
5,59,223,180,138
5,60,222,177,135
5,61,228,181,137
5,62,229,182,138
5,63,225,177,131
5,64,228,185,140
5,65,230,189,145
5,66,237,200,158
5,67,195,161,126
5,68,187,156,127
5,69,130,102,80
5,70,142,116,99
5,71,171,148,134
5,72,110,88,77
5,73,145,123,112
5,74,155,133,120
5,75,98,72,59
5,76,129,102,85
5,77,187,158,140
5,78,226,195,174
5,79,185,153,132
6,0,231,188,145
6,1,231,188,145
6,2,232,189,146
6,3,232,189,146
6,4,233,190,147
6,5,233,190,147
6,6,233,190,147
6,7,234,191,148
6,8,234,191,148
6,9,230,187,144
6,10,226,183,140
6,11,226,183,140
6,12,228,185,142
6,13,228,185,142
6,14,224,181,138
6,15,220,177,134
6,16,228,185,142
6,17,224,181,138
6,18,222,179,136
6,19,224,181,138
6,20,228,185,142
6,21,230,187,144
6,22,228,185,142
6,23,224,181,138
6,24,216,173,130
6,25,214,171,128
6,26,214,171,128
6,27,219,176,133
6,28,226,183,140
6,29,231,188,145
6,30,231,188,145
6,31,229,186,143
6,32,216,188,149
6,33,220,191,151
6,34,224,191,148
6,35,225,187,140
6,36,225,181,132
6,37,229,179,128
6,38,234,183,128
6,39,239,186,134
6,40,218,168,117
6,41,226,179,135
6,42,209,170,131
6,43,218,187,156
6,44,169,145,121
6,45,83,67,51
6,46,73,63,51
6,47,68,61,51
6,48,75,53,39
6,49,95,74,57
6,50,120,97,81
6,51,46,20,3
6,52,51,24,3
6,53,154,126,102
6,54,218,187,159
6,55,229,196,165
6,56,235,199,165
6,57,229,189,153
6,58,214,172,134
6,59,206,161,120
6,60,213,166,122
6,61,220,172,126
6,62,227,176,129
6,63,234,183,136
6,64,248,206,158
6,65,218,177,133
6,66,218,179,138
6,67,207,171,135
6,68,197,166,137
6,69,112,84,62
6,70,145,119,102
6,71,166,143,129
6,72,110,88,75
6,73,99,77,66
6,74,114,90,78
6,75,109,83,70
6,76,129,102,85
6,77,127,99,78
6,78,202,171,150
6,79,186,154,131
7,0,233,190,147
7,1,233,190,147
7,2,234,191,148
7,3,234,191,148
7,4,235,192,149
7,5,235,192,149
7,6,235,192,149
7,7,236,193,150
7,8,237,194,151
7,9,233,190,147
7,10,228,185,142
7,11,227,184,141
7,12,227,184,141
7,13,226,183,140
7,14,222,179,136
7,15,217,174,131
7,16,226,183,140
7,17,222,179,136
7,18,220,177,134
7,19,222,179,136
7,20,226,183,140
7,21,228,185,142
7,22,226,183,140
7,23,223,180,137
7,24,220,177,134
7,25,218,175,132
7,26,218,175,132
7,27,223,180,137
7,28,231,188,145
7,29,236,193,150
7,30,237,194,151
7,31,235,192,149
7,32,217,192,152
7,33,222,194,154
7,34,228,195,152
7,35,229,191,144
7,36,229,185,136
7,37,229,182,130
7,38,234,183,128
7,39,237,186,133
7,40,226,176,127
7,41,237,193,148
7,42,226,188,151
7,43,235,206,176
7,44,171,150,129
7,45,71,57,44
7,46,67,60,50
7,47,73,70,63
7,48,93,76,66
7,49,88,72,59
7,50,80,62,48
7,51,82,63,48
7,52,95,72,54
7,53,217,192,170
7,54,215,187,163
7,55,226,195,167
7,56,219,184,152
7,57,222,184,148
7,58,211,169,131
7,59,206,161,120
7,60,219,172,128
7,61,219,171,125
7,62,215,164,117
7,63,223,171,123
7,64,226,184,136
7,65,208,165,120
7,66,207,168,127
7,67,225,189,153
7,68,229,195,167
7,69,128,100,76
7,70,156,129,110
7,71,119,96,82
7,72,100,78,65
7,73,109,87,74
7,74,102,78,66
7,75,61,35,22
7,76,149,122,105
7,77,130,99,79
7,78,212,180,159
7,79,172,140,117
8,0,228,185,142
8,1,229,186,143
8,2,232,189,146
8,3,234,191,148
8,4,234,191,148
8,5,232,189,146
8,6,229,186,143
8,7,228,185,142
8,8,232,189,146
8,9,231,188,145
8,10,230,187,144
8,11,229,186,143
8,12,228,185,142
8,13,226,183,140
8,14,225,182,139
8,15,225,182,139
8,16,222,179,136
8,17,224,181,138
8,18,226,183,140
8,19,227,184,141
8,20,226,183,140
8,21,224,181,138
8,22,222,179,136
8,23,220,177,134
8,24,227,184,141
8,25,225,182,139
8,26,224,181,138
8,27,223,180,137
8,28,224,181,138
8,29,227,184,141
8,30,231,188,145
8,31,233,190,147
8,32,218,193,152
8,33,203,176,133
8,34,220,189,143
8,35,226,190,142
8,36,205,163,113
8,37,216,170,118
